# Version 1.00
#
freq[Hz];db:Trc1_S11;ang:Trc1_S11;
8.000000000000000E+007;-2.757106801380018E+000;4.016778901417253E+001;
8.003500000000000E+007;-2.727288024865707E+000;3.843890198455636E+001;
8.007000000000000E+007;-2.690939811692199E+000;3.833520101378069E+001;
8.010500000000000E+007;-2.784764530590993E+000;3.818945525289539E+001;
8.014000000000000E+007;-2.710292320319160E+000;3.655027586065695E+001;
8.017500000000000E+007;-2.847090882933791E+000;3.835664695278805E+001;
8.021000000000000E+007;-2.853882490679586E+000;3.740583422888539E+001;
8.024500000000000E+007;-2.827170927025307E+000;3.565792167390616E+001;
8.028000000000000E+007;-2.887956922159775E+000;3.672230718817216E+001;
8.031500000000000E+007;-2.899095481970325E+000;3.477865669773944E+001;
8.035000000000000E+007;-2.889997747652046E+000;3.462499271272167E+001;
8.038500000000000E+007;-2.877398943798707E+000;3.402893950836578E+001;
8.042000000000000E+007;-2.970804777865704E+000;3.465230111933605E+001;
8.045500000000000E+007;-2.993316982807075E+000;3.368005564032650E+001;
8.049000000000000E+007;-3.092742955927710E+000;3.430413667103649E+001;
8.052500000000000E+007;-3.034628279920593E+000;3.292975558425408E+001;
8.056000000000000E+007;-3.071810700282152E+000;3.246438594500340E+001;
8.059500000000000E+007;-3.045572877754201E+000;3.078191644495974E+001;
8.063000000000000E+007;-3.064784927992736E+000;3.025667629921609E+001;
8.066500000000000E+007;-3.157731578268648E+000;3.112578080305534E+001;
8.070000000000000E+007;-3.148546295571093E+000;2.983732566916983E+001;
8.073500000000000E+007;-3.163514247303529E+000;2.899653826216356E+001;
8.077000000000000E+007;-3.193790960519362E+000;2.944579655017211E+001;
8.080500000000000E+007;-3.222627740094973E+000;2.799722926678963E+001;
8.084000000000000E+007;-3.198049662601644E+000;2.552306515041792E+001;
8.087500000000000E+007;-3.351194381759983E+000;2.815466058139741E+001;
8.091000000000000E+007;-3.298012554118823E+000;2.439656826403695E+001;
8.094500000000000E+007;-3.340889893878207E+000;2.615809384941478E+001;
8.098000000000000E+007;-3.300880659832845E+000;2.355351871265206E+001;
8.101500000000000E+007;-3.443223103576192E+000;2.445191972656767E+001;
8.105000000000000E+007;-3.465424241844071E+000;2.481400200471095E+001;
8.108500000000000E+007;-3.522965536085915E+000;2.393058372693354E+001;
8.112000000000000E+007;-3.542238893232530E+000;2.342635194737548E+001;
8.115500000000000E+007;-3.605190874989085E+000;2.218372588719671E+001;
8.119000000000000E+007;-3.668814842578065E+000;2.276114182592173E+001;
8.122500000000000E+007;-3.763135429139784E+000;2.300757718500797E+001;
8.126000000000000E+007;-3.716133693798737E+000;1.984985061036688E+001;
8.129500000000000E+007;-3.711479960344239E+000;1.803800007760547E+001;
8.133000000000000E+007;-3.808684672949770E+000;1.905263461741708E+001;
8.136500000000000E+007;-3.910655252740702E+000;2.018931559442206E+001;
8.140000000000000E+007;-3.962540067959678E+000;1.843822308357522E+001;
8.143500000000000E+007;-3.939987418927800E+000;1.679933015143265E+001;
8.147000000000000E+007;-4.007231193463836E+000;1.597441913970915E+001;
8.150500000000000E+007;-4.147959914353412E+000;1.638770153659673E+001;
8.154000000000000E+007;-4.169937013304475E+000;1.597418192529226E+001;
8.157500000000000E+007;-4.166682923501159E+000;1.412289339583551E+001;
8.161000000000000E+007;-4.240158294266422E+000;1.282326703390197E+001;
8.164500000000000E+007;-4.449654199409792E+000;1.335819072792403E+001;
8.168000000000000E+007;-4.445970000171582E+000;1.391521834912457E+001;
8.171500000000000E+007;-4.513105059212458E+000;1.190022271545998E+001;
8.175000000000000E+007;-4.659928410246056E+000;1.180255566430844E+001;
8.178500000000000E+007;-4.681417457857543E+000;1.138623404038726E+001;
