# Version 1.00
#
freq[Hz];db:Trc1_S11;ang:Trc1_S11;
8.100000000000000E+007;-1.184351149180561E+000;-1.565356565529411E+002;
8.103500000000000E+007;-1.267732972054507E+000;-1.592465707298885E+002;
8.107000000000000E+007;-1.258240624357513E+000;-1.594407186062389E+002;
8.110500000000000E+007;-1.254381399666885E+000;-1.605296001421541E+002;
8.114000000000000E+007;-1.329765999169339E+000;-1.620006088798218E+002;
8.117500000000000E+007;-1.321119437020631E+000;-1.605094942835495E+002;
8.121000000000000E+007;-1.354032686760315E+000;-1.624978401842494E+002;
8.124500000000000E+007;-1.408897418610510E+000;-1.633202774269894E+002;
8.128000000000000E+007;-1.409028434269228E+000;-1.631458212519206E+002;
8.131500000000000E+007;-1.443381143569579E+000;-1.645066333647966E+002;
8.135000000000000E+007;-1.512698486669901E+000;-1.651318119447654E+002;
8.138500000000000E+007;-1.559305392197721E+000;-1.672676115597552E+002;
8.142000000000000E+007;-1.513144367287234E+000;-1.650641640217296E+002;
8.145500000000000E+007;-1.527618054905334E+000;-1.647621720758323E+002;
8.149000000000000E+007;-1.635898353941647E+000;-1.677234797177560E+002;
8.152500000000000E+007;-1.697082020273439E+000;-1.683988699229506E+002;
8.156000000000000E+007;-1.807256559186358E+000;-1.703165982407815E+002;
8.159500000000000E+007;-1.800503352447135E+000;-1.700581252983449E+002;
8.163000000000000E+007;-1.928228394115660E+000;-1.716774165289550E+002;
8.166500000000000E+007;-1.942032928428064E+000;-1.712178442654926E+002;
8.170000000000000E+007;-2.076265541061923E+000;-1.741207865837818E+002;
8.173500000000000E+007;-2.177812685074983E+000;-1.748510327545581E+002;
8.177000000000000E+007;-2.275807999928919E+000;-1.767624683542466E+002;
8.180500000000000E+007;-2.443353247980254E+000;-1.795675834252564E+002;
8.184000000000000E+007;-2.584447174983230E+000;-1.798083278381739E+002;
8.187500000000000E+007;-2.668431908997510E+000;-1.799485585935005E+002;
8.191000000000000E+007;-2.841286455666126E+000;1.792378321159028E+002;
8.194500000000000E+007;-3.065088076036518E+000;1.760529649818762E+002;
8.198000000000000E+007;-3.250583831111038E+000;1.734024615267926E+002;
8.201500000000000E+007;-3.499517899973751E+000;1.717868034519160E+002;
8.205000000000000E+007;-3.792058936195218E+000;1.689210750615218E+002;
8.208500000000000E+007;-4.120409071268496E+000;1.671703944792697E+002;
8.212000000000000E+007;-4.365623732488922E+000;1.671937577566384E+002;
8.215500000000000E+007;-4.816994137146257E+000;1.638120858084463E+002;
8.219000000000000E+007;-5.296109004640669E+000;1.627315371830746E+002;
8.222500000000000E+007;-5.889205412183029E+000;1.590862570148638E+002;
8.226000000000000E+007;-6.432683448974058E+000;1.560120133627129E+002;
8.229500000000000E+007;-7.270448929286781E+000;1.539003591280444E+002;
8.233000000000000E+007;-8.172194015907275E+000;1.518476293320053E+002;
8.236500000000000E+007;-9.315180898157108E+000;1.485889978247855E+002;
8.240000000000000E+007;-1.079880133072387E+001;1.456307809772919E+002;
8.243500000000000E+007;-1.253989923070803E+001;1.429849052708645E+002;
8.247000000000000E+007;-1.471766752597796E+001;1.398866722732783E+002;
8.250500000000000E+007;-1.802936522782619E+001;1.431515848410486E+002;
8.254000000000000E+007;-2.373209796017978E+001;1.453126269978205E+002;
8.257500000000000E+007;-3.189006545004195E+001;-1.502697596412848E+002;
8.261000000000000E+007;-2.358227094962451E+001;-8.494625955465054E+001;
8.264500000000000E+007;-1.840141175655200E+001;-7.872740876257073E+001;
8.268000000000000E+007;-1.471930808159254E+001;-7.821501654318588E+001;
8.271500000000000E+007;-1.254962901513897E+001;-8.111124104130640E+001;
8.275000000000000E+007;-1.077839804705471E+001;-8.291712567547978E+001;
8.278500000000000E+007;-9.432981989659860E+000;-8.484619778752813E+001;
8.282000000000000E+007;-8.231701486990232E+000;-8.873411985238235E+001;
8.285500000000000E+007;-7.280486388415065E+000;-9.132445644647999E+001;
8.289000000000000E+007;-6.594937759941711E+000;-9.470255615567967E+001;
8.292500000000000E+007;-5.886794489907048E+000;-9.634297095507583E+001;
8.296000000000000E+007;-5.202885302811697E+000;-9.844771990976565E+001;
8.299500000000000E+007;-4.886908473386924E+000;-1.028878858397711E+002;
8.303000000000000E+007;-4.418267744608575E+000;-1.036240324367343E+002;
8.306500000000000E+007;-4.094402796271987E+000;-1.062864205651986E+002;
8.310000000000000E+007;-3.749566242828060E+000;-1.077990837612625E+002;
8.313500000000000E+007;-3.436068699965468E+000;-1.100856863839678E+002;
8.317000000000000E+007;-3.263317559898088E+000;-1.117627695620289E+002;
8.320500000000000E+007;-3.105224589929067E+000;-1.157618112049881E+002;
8.324000000000000E+007;-2.948847499844404E+000;-1.160465567241915E+002;
8.327500000000000E+007;-2.709625008575070E+000;-1.164484734108186E+002;
8.331000000000000E+007;-2.532261443368818E+000;-1.180140683806530E+002;
8.334500000000000E+007;-2.411006753829518E+000;-1.198812231361711E+002;
8.338000000000000E+007;-2.304364986090904E+000;-1.207488423222027E+002;
8.341500000000000E+007;-2.177659530701156E+000;-1.211898495817038E+002;
8.345000000000000E+007;-2.091675850677597E+000;-1.223755089233970E+002;
8.348500000000000E+007;-2.049089163378803E+000;-1.251672335803059E+002;
8.352000000000000E+007;-1.927084649736584E+000;-1.250032538977255E+002;
8.355500000000000E+007;-1.846166342031825E+000;-1.253827390731352E+002;
8.359000000000000E+007;-1.836203030811866E+000;-1.272894966582276E+002;
8.362500000000000E+007;-1.723005075282758E+000;-1.278442388829057E+002;
8.366000000000000E+007;-1.716541491091164E+000;-1.292643569867553E+002;
8.369500000000000E+007;-1.604743868764846E+000;-1.288883872727102E+002;
8.373000000000000E+007;-1.582735117885075E+000;-1.308188723070968E+002;
8.376500000000000E+007;-1.574152358965940E+000;-1.320858761367976E+002;
8.380000000000000E+007;-1.572577702921392E+000;-1.344847369126505E+002;
8.383500000000000E+007;-1.437619857412535E+000;-1.326543244106014E+002;
8.387000000000000E+007;-1.412360964952276E+000;-1.340495883900538E+002;
8.390500000000000E+007;-1.366622712341599E+000;-1.332349546366773E+002;
8.394000000000000E+007;-1.319676211190429E+000;-1.346234908992121E+002;
8.397500000000000E+007;-1.408332251592857E+000;-1.371706956949318E+002;
8.401000000000000E+007;-1.344901803321417E+000;-1.365409212168378E+002;
8.404500000000000E+007;-1.283485558130177E+000;-1.362311334537990E+002;
8.408000000000000E+007;-1.283150446705020E+000;-1.379869653811051E+002;
8.411500000000000E+007;-1.275327693955953E+000;-1.389166223460169E+002;
8.415000000000000E+007;-1.180913645626629E+000;-1.380180939223736E+002;
8.418500000000000E+007;-1.207316581227258E+000;-1.395185841924339E+002;
8.422000000000000E+007;-1.218377087618728E+000;-1.397754482413518E+002;
8.425500000000000E+007;-1.148469363388054E+000;-1.390164972478139E+002;
8.429000000000000E+007;-1.188233913701569E+000;-1.402403166009327E+002;
8.432500000000000E+007;-1.185180633797186E+000;-1.420737060034381E+002;
8.436000000000000E+007;-1.186482707514334E+000;-1.426760078628770E+002;
8.439500000000000E+007;-1.155826360800855E+000;-1.425504607072164E+002;
8.443000000000000E+007;-1.124522231908896E+000;-1.426311287285083E+002;
8.446500000000000E+007;-1.136581199593620E+000;-1.438767103169460E+002;
8.450000000000000E+007;-1.089095482505220E+000;-1.440367053928888E+002;
8.453500000000000E+007;-1.064557195039134E+000;-1.442860381365023E+002;
8.457000000000000E+007;-1.043007410869623E+000;-1.427833952340575E+002;
8.460500000000000E+007;-1.129644030935520E+000;-1.463564408632218E+002;
8.464000000000000E+007;-1.064370233333522E+000;-1.457693192722068E+002;
