# Version 1.00
#
freq[Hz];db:Trc1_S11;ang:Trc1_S11;
8.100000000000000E+007;-1.056271775244198E+000;-1.533951474206649E+002;
8.103500000000000E+007;-1.103302796419763E+000;-1.559411163661059E+002;
8.107000000000000E+007;-1.102502794358839E+000;-1.569265613089155E+002;
8.110500000000000E+007;-1.129634415874940E+000;-1.569233476199300E+002;
8.114000000000000E+007;-1.127501598988356E+000;-1.566722291571846E+002;
8.117500000000000E+007;-1.131514511266613E+000;-1.568220554695184E+002;
8.121000000000000E+007;-1.204202256813133E+000;-1.593739438782945E+002;
8.124500000000000E+007;-1.154141625819124E+000;-1.584589535960338E+002;
8.128000000000000E+007;-1.209519553588898E+000;-1.595375585930702E+002;
8.131500000000000E+007;-1.268377219694763E+000;-1.605920444405888E+002;
8.135000000000000E+007;-1.202797851054958E+000;-1.587121470087034E+002;
8.138500000000000E+007;-1.207077541183506E+000;-1.598659915555718E+002;
8.142000000000000E+007;-1.233736394987080E+000;-1.609209154827688E+002;
8.145500000000000E+007;-1.242508187816709E+000;-1.602629575161465E+002;
8.149000000000000E+007;-1.364327911739455E+000;-1.634595170702669E+002;
8.152500000000000E+007;-1.377423026629102E+000;-1.644556304046912E+002;
8.156000000000000E+007;-1.473550998385249E+000;-1.658805191530454E+002;
8.159500000000000E+007;-1.428651839886497E+000;-1.650023988858359E+002;
8.163000000000000E+007;-1.502407379469584E+000;-1.665056257456476E+002;
8.166500000000000E+007;-1.455049807278804E+000;-1.659784326335626E+002;
8.170000000000000E+007;-1.589455042401366E+000;-1.685540263617352E+002;
8.173500000000000E+007;-1.583656252538424E+000;-1.675236471410683E+002;
8.177000000000000E+007;-1.663306853111761E+000;-1.700766373788989E+002;
8.180500000000000E+007;-1.663918022188251E+000;-1.682823104240260E+002;
8.184000000000000E+007;-1.711444832869804E+000;-1.705256457337575E+002;
8.187500000000000E+007;-1.801607782250954E+000;-1.722766545066828E+002;
8.191000000000000E+007;-1.913745110801236E+000;-1.733162683235224E+002;
8.194500000000000E+007;-1.965698741645297E+000;-1.736227416485717E+002;
8.198000000000000E+007;-2.055123434011825E+000;-1.749904171705375E+002;
8.201500000000000E+007;-2.094375248603129E+000;-1.752024131610655E+002;
8.205000000000000E+007;-2.215523376644421E+000;-1.774039267018289E+002;
8.208500000000000E+007;-2.328986527639144E+000;-1.772279691566021E+002;
8.212000000000000E+007;-2.420958448843849E+000;-1.790381625886458E+002;
8.215500000000000E+007;-2.607037921543572E+000;1.781635715064254E+002;
8.219000000000000E+007;-2.671652207545917E+000;1.790937508936060E+002;
8.222500000000000E+007;-2.899332098366000E+000;1.760958434361753E+002;
8.226000000000000E+007;-3.053987311882540E+000;1.763819320517732E+002;
8.229500000000000E+007;-3.311308051756783E+000;1.729405993506709E+002;
8.233000000000000E+007;-3.522425467912186E+000;1.719998005430876E+002;
8.236500000000000E+007;-3.842817042789462E+000;1.691025329637200E+002;
8.240000000000000E+007;-4.127063798763800E+000;1.664501272101464E+002;
8.243500000000000E+007;-4.557145911423984E+000;1.638565270640528E+002;
8.247000000000000E+007;-5.004627122126236E+000;1.622633664150603E+002;
8.250500000000000E+007;-5.432271850241304E+000;1.603316058186016E+002;
8.254000000000000E+007;-5.988022798711945E+000;1.557174450700882E+002;
8.257500000000000E+007;-6.704963631634689E+000;1.552219957007946E+002;
8.261000000000000E+007;-7.497705352886160E+000;1.518314670967664E+002;
8.264500000000000E+007;-8.491308120187998E+000;1.498838296105594E+002;
8.268000000000000E+007;-9.717743229962306E+000;1.467767554618914E+002;
8.271500000000000E+007;-1.118915227882560E+001;1.454293905666794E+002;
8.275000000000000E+007;-1.306501328437228E+001;1.428094342143401E+002;
8.278500000000000E+007;-1.571441168392518E+001;1.408473054734675E+002;
8.282000000000000E+007;-1.953745952540972E+001;1.401639577746830E+002;
8.285500000000000E+007;-2.663035228654163E+001;1.606039517300377E+002;
8.289000000000000E+007;-2.883997217388365E+001;-1.163644347799744E+002;
8.292500000000000E+007;-2.110425041718626E+001;-8.285300979927277E+001;
8.296000000000000E+007;-1.677828792506987E+001;-8.022808868967699E+001;
8.299500000000000E+007;-1.410404581949509E+001;-8.161528863600775E+001;
8.303000000000000E+007;-1.189816577584286E+001;-8.368122932657056E+001;
8.306500000000000E+007;-1.004458211679693E+001;-8.524565264601402E+001;
8.310000000000000E+007;-8.971007685122000E+000;-8.979059474370568E+001;
8.313500000000000E+007;-7.803050927344714E+000;-9.028411479820613E+001;
8.317000000000000E+007;-6.963123669760805E+000;-9.232907854052012E+001;
8.320500000000000E+007;-6.268684689708360E+000;-9.710065707473541E+001;
8.324000000000000E+007;-5.695202923252774E+000;-9.882810153573209E+001;
8.327500000000000E+007;-5.183530323843567E+000;-1.033731913100334E+002;
8.331000000000000E+007;-4.671783628315126E+000;-1.045228719416297E+002;
8.334500000000000E+007;-4.332726897803480E+000;-1.056895467770714E+002;
8.338000000000000E+007;-4.020216132711133E+000;-1.111194266445386E+002;
8.341500000000000E+007;-3.743523734617527E+000;-1.114099610463457E+002;
8.345000000000000E+007;-3.443237180975272E+000;-1.124252384006460E+002;
8.348500000000000E+007;-3.156295126811227E+000;-1.135566339183751E+002;
8.352000000000000E+007;-2.972429918059619E+000;-1.152732838826065E+002;
8.355500000000000E+007;-2.810343849442587E+000;-1.173514381649323E+002;
8.359000000000000E+007;-2.640004925567956E+000;-1.189047595204110E+002;
8.362500000000000E+007;-2.461449234279715E+000;-1.195204279726780E+002;
8.366000000000000E+007;-2.426358574866086E+000;-1.219046573666964E+002;
8.369500000000000E+007;-2.230828116033911E+000;-1.222310577100995E+002;
8.373000000000000E+007;-2.099361533962285E+000;-1.228890249230891E+002;
8.376500000000000E+007;-2.089056401564122E+000;-1.259671228401575E+002;
8.380000000000000E+007;-2.030811609337274E+000;-1.275268731731214E+002;
8.383500000000000E+007;-1.878799357406686E+000;-1.266948279915506E+002;
8.387000000000000E+007;-1.858119212016156E+000;-1.276403871034986E+002;
8.390500000000000E+007;-1.782459464854985E+000;-1.283517779021033E+002;
8.394000000000000E+007;-1.790557766128588E+000;-1.324574304113150E+002;
8.397500000000000E+007;-1.699194603646606E+000;-1.316552421872848E+002;
8.401000000000000E+007;-1.615509233863665E+000;-1.315802024774766E+002;
8.404500000000000E+007;-1.572987278883283E+000;-1.316278096874705E+002;
8.408000000000000E+007;-1.478079519582469E+000;-1.322151665921786E+002;
8.411500000000000E+007;-1.478131949392756E+000;-1.331436159587416E+002;
8.415000000000000E+007;-1.474967154340556E+000;-1.352094663174542E+002;
8.418500000000000E+007;-1.425799676778674E+000;-1.353803301210032E+002;
8.422000000000000E+007;-1.430216091480376E+000;-1.369131279060463E+002;
8.425500000000000E+007;-1.396959941041067E+000;-1.370040825331504E+002;
8.429000000000000E+007;-1.301370607626903E+000;-1.361861607458729E+002;
8.432500000000000E+007;-1.309772434834432E+000;-1.376910371278424E+002;
8.436000000000000E+007;-1.279909878719923E+000;-1.391547325209268E+002;
8.439500000000000E+007;-1.220020604058772E+000;-1.383220899925814E+002;
8.443000000000000E+007;-1.286333649742719E+000;-1.405806795538346E+002;
8.446500000000000E+007;-1.208502555637952E+000;-1.403808800730568E+002;
8.450000000000000E+007;-1.249593401071568E+000;-1.407708198194558E+002;
8.453500000000000E+007;-1.244828917692104E+000;-1.425201030159570E+002;
8.457000000000000E+007;-1.146756106325040E+000;-1.420260336051262E+002;
8.460500000000000E+007;-1.170035820808702E+000;-1.420892005486608E+002;
8.464000000000000E+007;-1.157285500672929E+000;-1.425857580227657E+002;
8.467500000000000E+007;-1.128203395809415E+000;-1.441211021665961E+002;
8.471000000000000E+007;-1.168273825965272E+000;-1.447411061502496E+002;
8.474500000000000E+007;-1.145571826077934E+000;-1.443552799436221E+002;
