# Version 1.00
#
freq[Hz];db:Trc1_S11;ang:Trc1_S11;
8.100000000000000E+007;-1.312967219249340E+000;-1.598585639209142E+002;
8.103500000000000E+007;-1.346156308726096E+000;-1.600279818722880E+002;
8.107000000000000E+007;-1.421759042069605E+000;-1.629100433926365E+002;
8.110500000000000E+007;-1.428253835892501E+000;-1.627833505609548E+002;
8.114000000000000E+007;-1.444563345301539E+000;-1.640811725050003E+002;
8.117500000000000E+007;-1.501037397561050E+000;-1.646087798632478E+002;
8.121000000000000E+007;-1.492288721715511E+000;-1.642883621443153E+002;
8.124500000000000E+007;-1.608848285302905E+000;-1.667524497723002E+002;
8.128000000000000E+007;-1.596352248706988E+000;-1.650162432659938E+002;
8.131500000000000E+007;-1.627307151195762E+000;-1.663793500038921E+002;
8.135000000000000E+007;-1.759567506446981E+000;-1.693599036621341E+002;
8.138500000000000E+007;-1.810709726933482E+000;-1.692471271335122E+002;
8.142000000000000E+007;-1.896480490021743E+000;-1.711152020711388E+002;
8.145500000000000E+007;-1.899001685165396E+000;-1.707252977348699E+002;
8.149000000000000E+007;-2.007211051281843E+000;-1.724771652104652E+002;
8.152500000000000E+007;-2.116561235360122E+000;-1.733968658069728E+002;
8.156000000000000E+007;-2.184502474400861E+000;-1.744728480549277E+002;
8.159500000000000E+007;-2.321383335709589E+000;-1.749981356620610E+002;
8.163000000000000E+007;-2.425780910309647E+000;-1.771582677686948E+002;
8.166500000000000E+007;-2.602653956163831E+000;-1.793239542270088E+002;
8.170000000000000E+007;-2.737608291145159E+000;1.796086534643475E+002;
8.173500000000000E+007;-2.876133111349628E+000;1.793669713772955E+002;
8.177000000000000E+007;-3.156188706225573E+000;1.757544232381325E+002;
8.180500000000000E+007;-3.326960168724472E+000;1.751115991836684E+002;
8.184000000000000E+007;-3.602616514114127E+000;1.721599267345150E+002;
8.187500000000000E+007;-3.868562324908443E+000;1.709573525683458E+002;
8.191000000000000E+007;-4.199450837820608E+000;1.708990766171857E+002;
8.194500000000000E+007;-4.585111599805657E+000;1.676939389017676E+002;
8.198000000000000E+007;-5.068513147240705E+000;1.637847474468086E+002;
8.201500000000000E+007;-5.534274238699337E+000;1.622156946565151E+002;
8.205000000000000E+007;-6.144502474556779E+000;1.604797237972848E+002;
8.208500000000000E+007;-6.879253874937123E+000;1.571824792892755E+002;
8.212000000000000E+007;-7.695622707244674E+000;1.565481957903981E+002;
8.215500000000000E+007;-8.744291884288158E+000;1.517212816923809E+002;
8.219000000000000E+007;-1.004370153823292E+001;1.491845518460166E+002;
8.222500000000000E+007;-1.160937125955951E+001;1.460786587882297E+002;
8.226000000000000E+007;-1.367858712663416E+001;1.435896699071604E+002;
8.229500000000000E+007;-1.662204336279352E+001;1.453545232894581E+002;
8.233000000000000E+007;-2.143498467228315E+001;1.518590641846060E+002;
8.236500000000000E+007;-2.788389334559310E+001;1.799357023494614E+002;
8.240000000000000E+007;-2.546073633462006E+001;-1.026935237861713E+002;
8.243500000000000E+007;-1.943660592914779E+001;-8.500523321275205E+001;
8.247000000000000E+007;-1.589914768160048E+001;-8.171555150625522E+001;
8.250500000000000E+007;-1.315038683689764E+001;-8.257889841664618E+001;
8.254000000000000E+007;-1.123035741592056E+001;-8.369077111009707E+001;
8.257500000000000E+007;-9.732762631125040E+000;-8.632411809623747E+001;
8.261000000000000E+007;-8.420726505385789E+000;-8.881695378545470E+001;
8.264500000000000E+007;-7.574738357263408E+000;-9.287149415310292E+001;
8.268000000000000E+007;-6.690199975817470E+000;-9.449066715041322E+001;
8.271500000000000E+007;-6.005940617569783E+000;-9.746670859469228E+001;
8.275000000000000E+007;-5.385904416976819E+000;-9.773507981654916E+001;
8.278500000000000E+007;-4.951601422542676E+000;-1.024894802434844E+002;
8.282000000000000E+007;-4.554162885719714E+000;-1.060562873926972E+002;
8.285500000000000E+007;-4.051047294236598E+000;-1.042318912427930E+002;
