# Version 1.00
#
freq[Hz];db:Trc1_S11;ang:Trc1_S11;
8.100000000000000E+007;-1.605168400696420E+000;-1.651130837984846E+002;
8.103500000000000E+007;-1.567752176647732E+000;-1.643679033116046E+002;
8.107000000000000E+007;-1.636667565270569E+000;-1.665471667799074E+002;
8.110500000000000E+007;-1.682634172614246E+000;-1.667866354175798E+002;
8.114000000000000E+007;-1.706795023532802E+000;-1.676156120758628E+002;
8.117500000000000E+007;-1.795792741577193E+000;-1.692537207213636E+002;
8.121000000000000E+007;-1.865714197995387E+000;-1.705724089425061E+002;
8.124500000000000E+007;-1.926252064725958E+000;-1.715811749060408E+002;
8.128000000000000E+007;-1.990902349529922E+000;-1.718352150978470E+002;
8.131500000000000E+007;-2.136390725527599E+000;-1.742776688556473E+002;
8.135000000000000E+007;-2.176602465013765E+000;-1.729433488235636E+002;
8.138500000000000E+007;-2.322020051716714E+000;-1.752734230405465E+002;
8.142000000000000E+007;-2.382049825475724E+000;-1.763551507377317E+002;
8.145500000000000E+007;-2.539666265809676E+000;-1.782095661836814E+002;
8.149000000000000E+007;-2.677578179045321E+000;-1.788512913672286E+002;
8.152500000000000E+007;-2.886816635201356E+000;1.792201425142104E+002;
8.156000000000000E+007;-3.050082974869090E+000;1.765495399561001E+002;
8.159500000000000E+007;-3.276271353433496E+000;1.745985124876040E+002;
8.163000000000000E+007;-3.544545568094741E+000;1.726676300020305E+002;
8.166500000000000E+007;-3.733293785474050E+000;1.733522500908252E+002;
8.170000000000000E+007;-4.080548402483770E+000;1.698584493337544E+002;
8.173500000000000E+007;-4.409157167812143E+000;1.681703515672630E+002;
8.177000000000000E+007;-4.830249718587943E+000;1.656019435583330E+002;
8.180500000000000E+007;-5.318995230979269E+000;1.616103785494355E+002;
8.184000000000000E+007;-5.843300882506051E+000;1.609992638890863E+002;
8.187500000000000E+007;-6.519244489179934E+000;1.575256210737425E+002;
8.191000000000000E+007;-7.278952236563333E+000;1.548937901886559E+002;
8.194500000000000E+007;-8.304036258455941E+000;1.496858636220107E+002;
8.198000000000000E+007;-9.386427692615731E+000;1.502142603735229E+002;
8.201500000000000E+007;-1.072154149683191E+001;1.460859154516658E+002;
8.205000000000000E+007;-1.255500734840875E+001;1.417314594128218E+002;
8.208500000000000E+007;-1.501656663870149E+001;1.415108715504288E+002;
