# Version 1.00
#
freq[Hz];db:Trc1_S11;ang:Trc1_S11;
8.000000000000000E+007;-8.855740930590592E-001;-1.546185678558633E+002;
8.004500000000000E+007;-8.083985278722579E-001;-1.534741030977091E+002;
8.009000000000000E+007;-8.463574675584299E-001;-1.555646452592621E+002;
8.013500000000000E+007;-8.755982120173584E-001;-1.573102836348811E+002;
8.018000000000000E+007;-8.743400575091693E-001;-1.561001176365863E+002;
8.022500000000000E+007;-8.831657274621242E-001;-1.569981892740040E+002;
8.027000000000000E+007;-9.169724757487994E-001;-1.573167157836590E+002;
8.031500000000000E+007;-9.376662093447151E-001;-1.581517747209604E+002;
8.036000000000000E+007;-9.024081175399276E-001;-1.585962082848565E+002;
8.040500000000000E+007;-9.129606588926337E-001;-1.587319738428269E+002;
8.045000000000000E+007;-9.709050933797589E-001;-1.608131550717923E+002;
8.049500000000000E+007;-1.011433048944599E+000;-1.617818261777846E+002;
8.054000000000000E+007;-9.964364292134365E-001;-1.612442522207402E+002;
8.058500000000000E+007;-9.756899171824474E-001;-1.611093409194359E+002;
8.063000000000000E+007;-1.013956559437496E+000;-1.624182101280338E+002;
8.067500000000000E+007;-1.023851979832342E+000;-1.620800235704605E+002;
8.072000000000000E+007;-1.065382891724418E+000;-1.643357389864764E+002;
8.076500000000000E+007;-1.082735867814862E+000;-1.640326484403181E+002;
8.081000000000000E+007;-1.135320218368617E+000;-1.653482064948344E+002;
8.085500000000000E+007;-1.106061998852199E+000;-1.646963854327284E+002;
8.090000000000000E+007;-1.150407892420921E+000;-1.659074934763814E+002;
8.094500000000000E+007;-1.244996694250210E+000;-1.689892231012605E+002;
8.099000000000000E+007;-1.251946713560114E+000;-1.690561114157279E+002;
8.103500000000000E+007;-1.325153997584413E+000;-1.707194875679850E+002;
8.108000000000000E+007;-1.353512348802358E+000;-1.711824244349477E+002;
8.112500000000000E+007;-1.341498011951774E+000;-1.693595805634069E+002;
8.117000000000000E+007;-1.387769974515623E+000;-1.713879460374552E+002;
8.121500000000000E+007;-1.451606393045177E+000;-1.723031367972580E+002;
8.126000000000000E+007;-1.545282014889522E+000;-1.740157858147759E+002;
8.130500000000000E+007;-1.599441701850285E+000;-1.750292796558442E+002;
8.135000000000000E+007;-1.688626186225350E+000;-1.766833414626696E+002;
8.139500000000000E+007;-1.773094320277093E+000;-1.762265948390654E+002;
8.144000000000000E+007;-1.844397390976323E+000;-1.777988186839277E+002;
8.148500000000000E+007;-2.000193368889320E+000;1.788574184567341E+002;
8.153000000000000E+007;-2.107332667379717E+000;1.787892226132121E+002;
8.157500000000000E+007;-2.278054679566596E+000;1.757353702310368E+002;
8.162000000000000E+007;-2.442393702476870E+000;1.753695468317293E+002;
8.166500000000000E+007;-2.684366965003783E+000;1.707232621070363E+002;
8.171000000000000E+007;-2.874802618410479E+000;1.709503191879466E+002;
8.175500000000000E+007;-3.197478439250483E+000;1.675436777644328E+002;
8.180000000000000E+007;-3.452475160397757E+000;1.668878330664416E+002;
8.184500000000000E+007;-3.836962462433117E+000;1.633674815378279E+002;
8.189000000000000E+007;-4.261187402046152E+000;1.612932070029773E+002;
8.193500000000000E+007;-4.888724146315344E+000;1.566772711626817E+002;
8.198000000000000E+007;-5.540308144711212E+000;1.526431299862736E+002;
8.202500000000000E+007;-6.399725413597652E+000;1.499123778388366E+002;
8.207000000000000E+007;-7.264175605313136E+000;1.488409417825299E+002;
8.211500000000000E+007;-8.577372776541431E+000;1.433419167179163E+002;
