# Version 1.00
#
freq[Hz];db:Trc1_S11;ang:Trc1_S11;
8.000000000000000E+007;-8.063233190360333E-001;-1.515401294303582E+002;
8.004500000000000E+007;-7.803034296747856E-001;-1.534529288224524E+002;
8.009000000000000E+007;-8.004835091814216E-001;-1.531195072808829E+002;
8.013500000000000E+007;-7.749186182861475E-001;-1.532502237247106E+002;
8.018000000000000E+007;-8.351466225583725E-001;-1.546078483172240E+002;
8.022500000000000E+007;-8.741037264769883E-001;-1.551127706496736E+002;
8.027000000000000E+007;-8.250920166472895E-001;-1.550102538915411E+002;
8.031500000000000E+007;-8.256194673987799E-001;-1.555342922971034E+002;
8.036000000000000E+007;-7.769553092655548E-001;-1.552262496550637E+002;
8.040500000000000E+007;-8.825964709406756E-001;-1.576010380732071E+002;
8.045000000000000E+007;-8.762783019371536E-001;-1.572536161245568E+002;
8.049500000000000E+007;-8.427669752437589E-001;-1.568658674244624E+002;
8.054000000000000E+007;-8.943768585891502E-001;-1.584633431904593E+002;
8.058500000000000E+007;-8.996369713166673E-001;-1.593348120434456E+002;
8.063000000000000E+007;-8.893676836946788E-001;-1.592257049699111E+002;
8.067500000000000E+007;-8.981951151478321E-001;-1.588707912779762E+002;
8.072000000000000E+007;-8.941718825315119E-001;-1.591460065559263E+002;
8.076500000000000E+007;-9.245566003485676E-001;-1.601307757554335E+002;
8.081000000000000E+007;-9.383379982224233E-001;-1.608053400014029E+002;
8.085500000000000E+007;-9.292936198686767E-001;-1.612288642668153E+002;
8.090000000000000E+007;-9.853108641268364E-001;-1.624999261512477E+002;
8.094500000000000E+007;-9.997226564705755E-001;-1.623130582784692E+002;
8.099000000000000E+007;-1.015462677063519E+000;-1.635163356672271E+002;
8.103500000000000E+007;-1.017295316419466E+000;-1.635497983189246E+002;
8.108000000000000E+007;-9.964585575006868E-001;-1.631561663353684E+002;
8.112500000000000E+007;-1.058104591024564E+000;-1.649109615371215E+002;
8.117000000000000E+007;-1.065357019546241E+000;-1.657903862662369E+002;
8.121500000000000E+007;-1.077168919864001E+000;-1.656871685845900E+002;
8.126000000000000E+007;-1.162698332417150E+000;-1.677219276097107E+002;
8.130500000000000E+007;-1.145272217597220E+000;-1.677684675915373E+002;
8.135000000000000E+007;-1.218120822213969E+000;-1.700048536338326E+002;
8.139500000000000E+007;-1.228674388886366E+000;-1.687564763043529E+002;
8.144000000000000E+007;-1.305462216582757E+000;-1.718736595905874E+002;
8.148500000000000E+007;-1.307744773015213E+000;-1.717778894919062E+002;
8.153000000000000E+007;-1.385058363727693E+000;-1.724943635289581E+002;
8.157500000000000E+007;-1.402062781956498E+000;-1.734524355715579E+002;
8.162000000000000E+007;-1.417159937266243E+000;-1.747070673031998E+002;
8.166500000000000E+007;-1.548074384360083E+000;-1.761685489754009E+002;
8.171000000000000E+007;-1.590857288129170E+000;-1.759820428428916E+002;
8.175500000000000E+007;-1.668446669621298E+000;-1.792375912097052E+002;
8.180000000000000E+007;-1.709860148389753E+000;-1.793847094431521E+002;
8.184500000000000E+007;-1.796779104403884E+000;1.797260345309482E+002;
8.189000000000000E+007;-1.887809101003060E+000;1.791563353779431E+002;
8.193500000000000E+007;-2.034048911360312E+000;1.760012385305298E+002;
8.198000000000000E+007;-2.181447114596394E+000;1.748275602129961E+002;
8.202500000000000E+007;-2.304703871324322E+000;1.729274450519432E+002;
8.207000000000000E+007;-2.507265864089814E+000;1.706029022057045E+002;
8.211500000000000E+007;-2.687530788830596E+000;1.687518490108537E+002;
8.216000000000000E+007;-2.932768593184169E+000;1.678684927181503E+002;
8.220500000000000E+007;-3.178111337669971E+000;1.650751082690407E+002;
8.225000000000000E+007;-3.493994941712920E+000;1.624193228171887E+002;
8.229500000000000E+007;-3.898055731288636E+000;1.594181208881979E+002;
8.234000000000000E+007;-4.305787378607268E+000;1.578754915098036E+002;
8.238500000000000E+007;-4.798708348254936E+000;1.538090345727039E+002;
8.243000000000000E+007;-5.491157777034357E+000;1.490607689490895E+002;
8.247500000000000E+007;-6.228584593856695E+000;1.464685191452681E+002;
8.252000000000000E+007;-7.161311983166661E+000;1.444492422254970E+002;
8.256500000000000E+007;-8.422673649519231E+000;1.401283913196307E+002;
8.261000000000000E+007;-1.001632964879730E+001;1.359667177408858E+002;
8.265500000000000E+007;-1.197507003907707E+001;1.307123884237813E+002;
8.270000000000000E+007;-1.503836150758145E+001;1.249428158323975E+002;
8.274500000000000E+007;-1.962301725141033E+001;1.208442755552971E+002;
8.279000000000000E+007;-3.182508738304766E+001;1.268497606380208E+002;
8.283500000000000E+007;-2.556375944848365E+001;-7.497614075905885E+001;
8.288000000000000E+007;-1.790390609100270E+001;-7.533456712190628E+001;
8.292500000000000E+007;-1.389298622656222E+001;-8.085147271339423E+001;
8.297000000000000E+007;-1.140517834919393E+001;-8.537031359466100E+001;
8.301500000000000E+007;-9.438372675189868E+000;-8.966513634821970E+001;
8.306000000000000E+007;-8.050820776604398E+000;-9.244965641683062E+001;
8.310500000000000E+007;-6.849457329625525E+000;-9.706572526626357E+001;
8.315000000000000E+007;-5.935713714581543E+000;-9.991588349438054E+001;
8.319500000000000E+007;-5.216063933885595E+000;-1.032075589443818E+002;
8.324000000000000E+007;-4.668337647194904E+000;-1.070923111813306E+002;
8.328500000000000E+007;-4.134807689817702E+000;-1.106907837610695E+002;
8.333000000000000E+007;-3.695179063180389E+000;-1.140314632978398E+002;
8.337500000000000E+007;-3.350292773882562E+000;-1.159203473007951E+002;
8.342000000000000E+007;-3.090711301447076E+000;-1.188224977439973E+002;
8.346500000000000E+007;-2.877902476263945E+000;-1.212155552781354E+002;
8.351000000000000E+007;-2.672856072696490E+000;-1.238422865211505E+002;
8.355500000000000E+007;-2.488532594354228E+000;-1.252993809238211E+002;
8.360000000000000E+007;-2.288497846064064E+000;-1.271915868187755E+002;
8.364500000000000E+007;-2.138527992488365E+000;-1.283096435485529E+002;
8.369000000000000E+007;-2.006531743251535E+000;-1.297730740804974E+002;
8.373500000000000E+007;-1.919916454638652E+000;-1.319144765229495E+002;
8.378000000000000E+007;-1.795006141936342E+000;-1.320302591386535E+002;
8.382500000000000E+007;-1.649110343448845E+000;-1.332621720181221E+002;
8.387000000000000E+007;-1.586259894147338E+000;-1.338939827450600E+002;
8.391500000000000E+007;-1.562744214989577E+000;-1.363145854251339E+002;
8.396000000000000E+007;-1.458618783359184E+000;-1.366944301502211E+002;
8.400500000000000E+007;-1.450522146001145E+000;-1.392034115186463E+002;
8.405000000000000E+007;-1.413048355535730E+000;-1.400298998815671E+002;
8.409500000000000E+007;-1.325373238060411E+000;-1.404446735509853E+002;
8.414000000000000E+007;-1.273593096487589E+000;-1.402250952578806E+002;
8.418500000000000E+007;-1.254021632239415E+000;-1.427808732715505E+002;
8.423000000000000E+007;-1.227052509003939E+000;-1.430563213246026E+002;
8.427500000000000E+007;-1.169536478642332E+000;-1.444087533627415E+002;
8.432000000000000E+007;-1.154790026090212E+000;-1.441193401111927E+002;
8.436500000000000E+007;-1.151299940185572E+000;-1.449290577529017E+002;
8.441000000000000E+007;-1.142355373795794E+000;-1.476368000845909E+002;
8.445500000000000E+007;-1.081352245346382E+000;-1.465882249772902E+002;
8.450000000000000E+007;-1.017882742857305E+000;-1.457550491114898E+002;
8.454500000000000E+007;-9.677167039618274E-001;-1.465211342458020E+002;
8.459000000000000E+007;-1.042412413419606E+000;-1.486297600789637E+002;
8.463500000000000E+007;-1.019745271529479E+000;-1.496346514983780E+002;
8.468000000000000E+007;-1.009044982615921E+000;-1.508069343552331E+002;
8.472500000000000E+007;-9.868528234609192E-001;-1.512335045187968E+002;
8.477000000000000E+007;-9.813536429049384E-001;-1.520776620411504E+002;
8.481500000000000E+007;-9.098902192972745E-001;-1.501774880802619E+002;
8.486000000000000E+007;-9.628168933237370E-001;-1.529701320296011E+002;
8.490500000000000E+007;-9.561035933744499E-001;-1.548829122877257E+002;
8.495000000000000E+007;-9.612380253061597E-001;-1.550371445571414E+002;
8.499500000000000E+007;-9.542380072808111E-001;-1.551408131684207E+002;
8.504000000000000E+007;-9.571341174854721E-001;-1.563432979373648E+002;
8.508500000000000E+007;-9.397992601657772E-001;-1.561786644452778E+002;
8.513000000000000E+007;-8.715725803211804E-001;-1.559755106016454E+002;
8.517500000000000E+007;-8.377555417008882E-001;-1.551329136236323E+002;
8.522000000000000E+007;-8.939167700823593E-001;-1.567986935890210E+002;
8.526500000000000E+007;-8.586641487053486E-001;-1.573129973936612E+002;
8.531000000000000E+007;-8.792043028246908E-001;-1.584158593684359E+002;
8.535500000000000E+007;-8.511396234124489E-001;-1.570904157291737E+002;
8.540000000000000E+007;-8.018469837970980E-001;-1.574932213203512E+002;
8.544500000000000E+007;-8.311125808598795E-001;-1.582213402577877E+002;
8.549000000000000E+007;-8.228594786710129E-001;-1.591524404773521E+002;
8.553500000000000E+007;-7.989255064019427E-001;-1.588494523633517E+002;
8.558000000000000E+007;-8.230015549599204E-001;-1.595306870658322E+002;
8.562500000000000E+007;-8.732736994999523E-001;-1.615313653331306E+002;
8.567000000000000E+007;-8.297362034224840E-001;-1.614813257637130E+002;
8.571500000000000E+007;-7.927347723342723E-001;-1.605842665588831E+002;
8.576000000000000E+007;-8.327837024778841E-001;-1.622212808273480E+002;
8.580500000000000E+007;-8.315730441649080E-001;-1.627170516451012E+002;
8.585000000000000E+007;-7.684449916161236E-001;-1.603931806164525E+002;
8.589500000000000E+007;-7.762354901793426E-001;-1.616975914179432E+002;
8.594000000000000E+007;-8.271873150808815E-001;-1.637241689841647E+002;
8.598500000000000E+007;-7.639268621283704E-001;-1.622655555771788E+002;
8.603000000000000E+007;-8.284146118220518E-001;-1.640059214663365E+002;
8.607500000000000E+007;-8.077202632055406E-001;-1.643824906125213E+002;
8.612000000000000E+007;-7.669770268713698E-001;-1.637766447016864E+002;
8.616500000000000E+007;-7.520684577406644E-001;-1.640727894442533E+002;
8.621000000000000E+007;-8.051841563635040E-001;-1.657460403716249E+002;
8.625500000000000E+007;-8.222181379235880E-001;-1.670686743868270E+002;
8.630000000000000E+007;-7.335258983099895E-001;-1.646179005927605E+002;
8.634500000000000E+007;-7.915207228649263E-001;-1.667465516164413E+002;
8.639000000000000E+007;-7.436521435015493E-001;-1.658505010208972E+002;
8.643500000000000E+007;-7.433221534740842E-001;-1.657343578608604E+002;
8.648000000000000E+007;-7.338461752566252E-001;-1.666602044247539E+002;
8.652500000000000E+007;-8.045265695941887E-001;-1.683590875303113E+002;
8.657000000000000E+007;-7.515113655225931E-001;-1.689023105773348E+002;
8.661500000000000E+007;-8.242227354284004E-001;-1.696653997918673E+002;
8.666000000000000E+007;-7.152495714427478E-001;-1.683672943571626E+002;
8.670500000000000E+007;-7.212206784909727E-001;-1.678827302857844E+002;
8.675000000000000E+007;-7.242513769598932E-001;-1.688867914925527E+002;
8.679500000000000E+007;-7.025510105679763E-001;-1.667701402958392E+002;
8.684000000000000E+007;-7.911444043165433E-001;-1.713228535951999E+002;
8.688500000000000E+007;-7.939244921556676E-001;-1.704854492278175E+002;
8.693000000000000E+007;-7.397489607802745E-001;-1.700904351358740E+002;
8.697500000000000E+007;-7.312902273612354E-001;-1.697101410876647E+002;
8.702000000000000E+007;-6.967699002437320E-001;-1.695952685188926E+002;
8.706500000000000E+007;-7.650016629318907E-001;-1.705556869780473E+002;
8.711000000000000E+007;-6.624547552616870E-001;-1.684841094543768E+002;
8.715500000000000E+007;-7.201229220477262E-001;-1.709161030763143E+002;
8.720000000000000E+007;-7.309065604389180E-001;-1.719463075912202E+002;
8.724500000000000E+007;-7.422854766254875E-001;-1.721101002506814E+002;
8.729000000000000E+007;-6.801057407283715E-001;-1.711040724885321E+002;
8.733500000000000E+007;-7.353006121850738E-001;-1.720542429822059E+002;
8.738000000000000E+007;-7.016351112892630E-001;-1.719379246497691E+002;
8.742500000000000E+007;-7.168931718848607E-001;-1.734330400912899E+002;
8.747000000000000E+007;-7.006305573420512E-001;-1.726745997402993E+002;
8.751500000000000E+007;-6.814187706496697E-001;-1.721411897511033E+002;
8.756000000000000E+007;-7.266590035653308E-001;-1.737941982019292E+002;
8.760500000000000E+007;-7.126313599629928E-001;-1.731292764720962E+002;
8.765000000000000E+007;-7.168428193469434E-001;-1.744775627754260E+002;
8.769500000000000E+007;-6.854125747959722E-001;-1.738689195042957E+002;
8.774000000000000E+007;-7.059307791326562E-001;-1.744744245875520E+002;
8.778500000000000E+007;-7.357489745368693E-001;-1.766176382450035E+002;
8.783000000000000E+007;-6.975936582207059E-001;-1.757434205269995E+002;
8.787500000000000E+007;-7.127600931376629E-001;-1.766111346779373E+002;
8.792000000000000E+007;-7.336916882339817E-001;-1.771112729956907E+002;
8.796500000000000E+007;-7.489224113533373E-001;-1.781712878831571E+002;
8.801000000000000E+007;-7.148106114076402E-001;-1.763145230405632E+002;
8.805500000000000E+007;-7.098950669677928E-001;-1.770641983875687E+002;
8.810000000000000E+007;-7.320710913638249E-001;-1.784974979407843E+002;
8.814500000000000E+007;-7.242531934747158E-001;-1.791826757713270E+002;
8.819000000000000E+007;-7.054276957218454E-001;-1.769270706607567E+002;
8.823500000000000E+007;-7.029168179869061E-001;-1.784690522681667E+002;
8.828000000000000E+007;-6.901237176750841E-001;-1.779498840322231E+002;
8.832500000000000E+007;-6.950396273820619E-001;-1.780864953249552E+002;
8.837000000000000E+007;-7.013302330324654E-001;-1.784915866884062E+002;
8.841500000000000E+007;-7.122777279234743E-001;-1.794831928796112E+002;
8.846000000000000E+007;-7.163088143603398E-001;-1.794103156217788E+002;
8.850500000000000E+007;-6.921097535282852E-001;-1.799810446996063E+002;
8.855000000000000E+007;-6.991151066213442E-001;1.797386323929407E+002;
8.859500000000000E+007;-6.748470955700243E-001;-1.793171789445975E+002;
8.864000000000000E+007;-7.296742112598210E-001;1.791817090598916E+002;
8.868500000000000E+007;-6.996850769953829E-001;1.781694447851269E+002;
8.873000000000000E+007;-6.989582328061187E-001;1.796778811288760E+002;
8.877500000000000E+007;-7.265981488896451E-001;1.775234183002794E+002;
8.882000000000000E+007;-7.027004462288576E-001;1.789539549927885E+002;
8.886500000000000E+007;-7.258182239581360E-001;1.773421923889917E+002;
8.891000000000000E+007;-7.176656678037047E-001;1.769280170164293E+002;
8.895500000000000E+007;-6.947921870309556E-001;1.772501852839924E+002;
8.900000000000000E+007;-6.965728991389338E-001;1.772687694379125E+002;
