# Version 1.00
#
freq[Hz];re:Trc1_S11;im:Trc1_S11;
8.392500000000000E+007;3.447305738513699E-003;-5.245616605589827E-001;
8.395000000000000E+007;-1.215688549625960E-002;-5.433548584278229E-001;
8.397500000000000E+007;-2.397414979669068E-002;-5.681413813744974E-001;
8.400000000000000E+007;-3.704900736011604E-002;-5.876156950647953E-001;
8.402500000000000E+007;-6.169080246056793E-002;-6.037928733668934E-001;
8.405000000000000E+007;-6.081904472020299E-002;-6.258365295665536E-001;
8.407500000000000E+007;-1.089945691321324E-001;-6.323154590542252E-001;
8.410000000000000E+007;-1.065526560339443E-001;-6.505347244439270E-001;
8.412500000000000E+007;-1.283580439458300E-001;-6.630175159045482E-001;
8.415000000000000E+007;-1.516222450677573E-001;-6.694967686941480E-001;
8.417500000000000E+007;-1.562967451097410E-001;-6.826448905123663E-001;
8.420000000000000E+007;-1.648332878223363E-001;-6.948548557224556E-001;
8.422500000000000E+007;-1.827442678746046E-001;-7.017033184647598E-001;
8.425000000000000E+007;-1.848672593534411E-001;-7.112057398050291E-001;
8.427500000000000E+007;-2.164005868124656E-001;-7.076393159259995E-001;
8.430000000000000E+007;-2.150026523925128E-001;-7.202925167997483E-001;
8.432500000000000E+007;-2.342803649528931E-001;-7.230949518498355E-001;
8.435000000000000E+007;-2.831496683074815E-001;-7.067478709612829E-001;
8.437500000000000E+007;-2.688461242559388E-001;-7.277548939923504E-001;
8.440000000000000E+007;-2.820820832284627E-001;-7.306962071975399E-001;
8.442500000000000E+007;-2.892071553856524E-001;-7.359231685753797E-001;
8.445000000000000E+007;-2.944398024280612E-001;-7.379162158983508E-001;
8.447500000000000E+007;-3.291611583662409E-001;-7.251929187340483E-001;
8.450000000000000E+007;-3.141978860020396E-001;-7.425389108131667E-001;
8.452500000000000E+007;-3.288783930162610E-001;-7.389609732945506E-001;
8.455000000000000E+007;-3.470569396056619E-001;-7.345413985947226E-001;
8.457500000000000E+007;-3.459270695767170E-001;-7.424525621407939E-001;
8.460000000000000E+007;-3.478686998533003E-001;-7.490300434362661E-001;
8.462500000000000E+007;-3.709248596506634E-001;-7.378839587355224E-001;
8.465000000000000E+007;-3.769444614858866E-001;-7.412160882134353E-001;
8.467500000000000E+007;-3.807662811541179E-001;-7.447855674105236E-001;
8.470000000000000E+007;-3.930109334557083E-001;-7.389954869661343E-001;
8.472500000000000E+007;-3.867736994334468E-001;-7.501493997091713E-001;
8.475000000000000E+007;-3.942525424585276E-001;-7.492679656408725E-001;
8.477500000000000E+007;-4.058923809095615E-001;-7.457437026491768E-001;
8.480000000000000E+007;-4.384669212841175E-001;-7.222493677641099E-001;
8.482500000000000E+007;-4.461416989559444E-001;-7.194182043624813E-001;
8.485000000000000E+007;-4.427824249841331E-001;-7.284988034939876E-001;
8.487500000000000E+007;-4.262420927262753E-001;-7.463057154367815E-001;
8.490000000000000E+007;-4.407186332358045E-001;-7.359399176079585E-001;
8.492500000000000E+007;-4.505538693401162E-001;-7.354547674210242E-001;
8.495000000000000E+007;-4.597610849686447E-001;-7.317938369947425E-001;
8.497500000000000E+007;-4.515562828679546E-001;-7.401479502047772E-001;
8.500000000000000E+007;-4.522937856953918E-001;-7.469060548665539E-001;
8.502500000000000E+007;-4.654253557833419E-001;-7.347713871541968E-001;
8.505000000000000E+007;-4.716103336788445E-001;-7.333112916411404E-001;
8.507500000000000E+007;-4.840536280545215E-001;-7.264891765013699E-001;
8.510000000000000E+007;-4.803098619202975E-001;-7.305825500842050E-001;
8.512500000000000E+007;-4.859646420058459E-001;-7.286692417780745E-001;
8.515000000000000E+007;-4.952371277320318E-001;-7.245147164816932E-001;
8.517500000000000E+007;-4.924568865970082E-001;-7.262914589732721E-001;
8.520000000000000E+007;-5.036991180782906E-001;-7.204215261213280E-001;
8.522500000000000E+007;-5.025138503450694E-001;-7.256875068299689E-001;
8.525000000000000E+007;-5.173776807678210E-001;-7.092655903529900E-001;
8.527500000000000E+007;-5.196728984060697E-001;-7.112625513276184E-001;
8.530000000000000E+007;-4.932648977886796E-001;-7.375774415626580E-001;
8.532500000000000E+007;-5.119932572742573E-001;-7.235247937797530E-001;
8.535000000000000E+007;-5.265916157540519E-001;-7.104812169318991E-001;
8.537500000000000E+007;-5.272058731310527E-001;-7.144305418793948E-001;
8.540000000000000E+007;-5.169975074609520E-001;-7.250703401527205E-001;
8.542500000000000E+007;-5.260301875970209E-001;-7.199740923785993E-001;
8.545000000000000E+007;-5.209945054449485E-001;-7.265882975594208E-001;
8.547500000000000E+007;-5.268408765160138E-001;-7.219203201892158E-001;
8.550000000000000E+007;-5.506896377953738E-001;-6.967819957370246E-001;
8.552500000000000E+007;-5.465709954126681E-001;-7.012201210155750E-001;
8.555000000000000E+007;-5.398128709933470E-001;-7.108598212346677E-001;
8.557500000000000E+007;-5.502378165352945E-001;-7.016278340345858E-001;
8.560000000000000E+007;-5.449828324722369E-001;-7.083609239608689E-001;
8.562500000000000E+007;-5.368433835744316E-001;-7.199306542085955E-001;
8.565000000000000E+007;-5.523126522775997E-001;-7.040917796826418E-001;
8.567500000000000E+007;-5.545752290700767E-001;-7.025820369729915E-001;
8.570000000000000E+007;-5.532817474171834E-001;-7.055884001459321E-001;
8.572500000000000E+007;-5.666552377547635E-001;-6.946132722294433E-001;
8.575000000000000E+007;-5.595220407969116E-001;-7.035898775150115E-001;
8.577500000000000E+007;-5.688807215780002E-001;-6.920103038868174E-001;
8.580000000000000E+007;-5.695759864958707E-001;-6.939630965017778E-001;
8.582500000000000E+007;-5.687764408336247E-001;-6.956084206923048E-001;
8.585000000000000E+007;-5.715590246091377E-001;-6.913676310632869E-001;
8.587500000000000E+007;-5.714192783274595E-001;-6.964003090665721E-001;
8.590000000000000E+007;-5.800220663808716E-001;-6.848779462737675E-001;
8.592500000000000E+007;-5.812527347559429E-001;-6.862271411024914E-001;
8.595000000000000E+007;-5.793648194479993E-001;-6.907874843519366E-001;
8.597500000000000E+007;-5.912883463403592E-001;-6.762742963340873E-001;
8.600000000000000E+007;-5.833086831653404E-001;-6.862079609668532E-001;
